Layers,Complexity,MSE Train,MSE Future,MSE Past,MSE Train and Test
"(7, 1, 1)",10,0.11586877703666687,0.19634148478508,0.1479663997888565,0.1300862580537796
"(7, 2, 1)",19,0.09476368874311447,0.2543404698371887,0.11888273060321808,0.12295688688755035
"(7, 2, 1, 1)",21,0.09516219794750214,0.2607109844684601,0.14437799155712128,0.12441056221723555
"(7, 2, 1, 1, 1)",23,0.11373654007911682,0.2401530593633652,0.11119910329580307,0.13607120513916016
"(7, 7, 1)",64,0.09002874791622162,0.31794488430023193,0.08708365261554718,0.13029591739177704
"(7, 8, 1)",73,0.08721771836280823,0.2824484705924988,0.09203234314918518,0.1217101439833641
"(7, 9, 1)",82,0.08315072953701019,0.2435625046491623,0.10068540275096892,0.11149157583713533
"(7, 10, 1)",91,0.08254163712263107,0.24446021020412445,0.10292689502239227,0.1111486479640007
"(7, 11, 1)",100,0.08125308156013489,0.29903876781463623,0.10414493829011916,0.11973033845424652
"(7, 12, 1)",109,0.07887157052755356,0.2149416506290436,0.09476090967655182,0.10291185975074768
"(7, 13, 1)",118,0.08242937922477722,0.2282390147447586,0.09543830901384354,0.10819032788276672
"(7, 7, 7, 1)",120,0.07881090044975281,0.443098247051239,0.09971287846565248,0.14317163825035095
"(7, 14, 1)",127,0.07910801470279694,0.23452866077423096,0.09797021001577376,0.10656698793172836
"(7, 7, 8, 1)",129,0.08201182633638382,0.2458273470401764,0.09458893537521362,0.11095388978719713
"(7, 8, 7, 1)",135,0.07879775762557982,0.4891734719276428,0.09562215209007263,0.15130092203617096
"(7, 15, 1)",136,0.0762481838464737,0.4118826687335968,0.08829230070114136,0.1355465203523636
"(7, 7, 9, 1)",138,0.08282622694969177,0.2579125761985779,0.10137569159269333,0.1137596145272255
"(7, 16, 1)",145,0.07854121923446655,0.3572544455528259,0.09962800145149232,0.12778294086456302
"(7, 8, 8, 1)",145,0.07947801798582077,0.297166645526886,0.10108312964439392,0.11793820559978485
"(7, 7, 10, 1)",147,0.08214392513036728,0.23948606848716736,0.10985098779201508,0.10994244366884233
"(7, 9, 7, 1)",150,0.07978943735361099,0.39822790026664734,0.09870319813489914,0.13604964315891266
"(7, 17, 1)",154,0.0799935907125473,0.21868394315242767,0.09055299311876296,0.10449668020009996
"(7, 8, 9, 1)",155,0.07866694033145905,0.1965191215276718,0.09840299934148787,0.09948845952749252
"(7, 7, 11, 1)",156,0.08046426624059677,0.2103758305311203,0.09317729622125626,0.1034165471792221
"(7, 9, 8, 1)",161,0.0789109393954277,0.3518941402435303,0.09676739573478699,0.12714017927646634
"(7, 18, 1)",163,0.07875442504882812,0.3371152579784393,0.09391291439533234,0.12440022081136705
"(7, 8, 10, 1)",165,0.08307639509439467,0.2921706438064575,0.10288941115140916,0.12001810222864152
"(7, 7, 12, 1)",165,0.08036787807941438,0.300495982170105,0.09825829416513444,0.11925899982452393
"(7, 10, 7, 1)",165,0.07688464224338531,0.2070842981338501,0.10293424129486084,0.09988775849342346
"(7, 19, 1)",172,0.07678137719631195,0.2807606160640717,0.0917283147573471,0.1128193810582161
"(7, 9, 9, 1)",172,0.07936417311429977,0.2500126957893372,0.09340006113052368,0.10951346904039384
"(7, 7, 13, 1)",174,0.07729389518499374,0.3159291446208954,0.09825123101472856,0.11945486068725585
"(7, 8, 11, 1)",175,0.07886534929275513,0.2341454774141312,0.10294685512781143,0.10629961639642717
"(7, 7, 7, 7, 1)",176,0.07835362106561661,0.3162429630756378,0.10258392989635468,0.12038281559944153
"(7, 10, 8, 1)",177,0.07553704082965851,0.18731293082237244,0.09096164256334303,0.0952850803732872
"(7, 11, 7, 1)",180,0.07705764472484589,0.38095784187316895,0.10214538127183914,0.13074930012226105
"(7, 20, 1)",181,0.07773591578006744,0.2682761251926422,0.09567271918058397,0.11139966547489166
"(7, 7, 14, 1)",183,0.07825341075658797,0.22697748243808746,0.09333863109350203,0.10452917218208313
"(7, 9, 10, 1)",183,0.07885868847370148,0.2411218881607056,0.09609834849834442,0.10752657800912856
"(7, 7, 7, 8, 1)",185,0.08037909865379332,0.4808319509029389,0.09558546543121338,0.15112927556037906
"(7, 8, 12, 1)",185,0.078981414437294,0.21493086218833926,0.0956108421087265,0.10300032049417496
"(7, 10, 9, 1)",189,0.08032046258449554,0.28636524081230164,0.09811762720346452,0.11672357469797134
"(7, 21, 1)",190,0.07738406956195831,0.3674915432929993,0.0934082642197609,0.12863898277282715
"(7, 7, 8, 7, 1)",191,0.07603679597377777,0.376863569021225,0.0966181829571724,0.12918540835380554
"(7, 8, 7, 7, 1)",191,0.07779458910226822,0.2998488247394562,0.09194305539131163,0.11702605336904524
"(7, 7, 15, 1)",192,0.0790557786822319,0.2517819106578827,0.09755799919366837,0.10957223176956177
"(7, 11, 8, 1)",193,0.08061758428812027,0.2728326320648193,0.09781257063150406,0.11457724869251253
"(7, 9, 11, 1)",194,0.07687743008136749,0.2846476435661316,0.08917105197906494,0.11358523368835448
"(7, 7, 7, 9, 1)",194,0.07699477672576904,0.3267752230167389,0.09508918970823288,0.12112469226121902
"(7, 8, 13, 1)",195,0.08234792947769165,0.3802711665630341,0.10641977936029434,0.13498374819755554
"(7, 12, 7, 1)",195,0.07821048051118851,0.2790331542491913,0.09370067715644836,0.1136908307671547
"(7, 22, 1)",199,0.07712462544441223,0.1959279179573059,0.089121975004673,0.09811415523290634
"(7, 8, 7, 8, 1)",200,0.08122387528419495,0.3567860126495361,0.09927891194820404,0.12990887463092804
"(7, 7, 16, 1)",201,0.0801839530467987,0.20566214621067047,0.09516908973455428,0.10235293209552764
"(7, 7, 8, 8, 1)",201,0.07927481085062027,0.2511851489543915,0.09616009145975113,0.10964715480804443
"(7, 10, 10, 1)",201,0.07734492421150208,0.3000750541687012,0.09337272495031357,0.11669588834047318
"(7, 7, 7, 10, 1)",203,0.07520724087953568,0.4346614181995392,0.09714340418577194,0.13871394097805026
"(7, 9, 12, 1)",205,0.07701405137777327,0.24635913968086245,0.09750889986753464,0.10693320631980896
"(7, 8, 14, 1)",205,0.07914766669273376,0.27297621965408325,0.09691579639911653,0.11339230090379715
"(7, 7, 9, 7, 1)",206,0.08200554549694061,0.2743878662586212,0.09768281877040864,0.11599478870630266
"(7, 11, 9, 1)",206,0.07793358713388443,0.28501567244529724,0.09299732744693756,0.114519864320755
"(7, 9, 7, 7, 1)",206,0.07932833582162857,0.20775459706783286,0.09200827032327652,0.10201814025640488
"(7, 8, 8, 7, 1)",207,0.07802148908376694,0.26221030950546265,0.09422284364700316,0.11056314408779144
"(7, 23, 1)",208,0.0787404254078865,0.30002763867378235,0.08925126492977142,0.11783624440431595
"(7, 12, 8, 1)",209,0.07920153439044952,0.3893724977970123,0.10379866510629654,0.1340012401342392
"(7, 8, 7, 9, 1)",209,0.07772703468799591,0.23373213410377505,0.0952308624982834,0.10528924316167833
"(7, 7, 17, 1)",210,0.07965145260095596,0.2620778977870941,0.1065789982676506,0.11188175529241562
"(7, 13, 7, 1)",210,0.07738794386386871,0.3797578513622284,0.09869062155485152,0.1308092474937439
"(7, 7, 8, 9, 1)",211,0.07935065031051636,0.26102229952812195,0.10632366687059402,0.11144760251045227
"(7, 7, 7, 11, 1)",212,0.07844455540180206,0.2703690230846405,0.09682439267635344,0.1123528704047203
"(7, 10, 11, 1)",213,0.07568791508674623,0.2433873862028122,0.09792236983776093,0.10531625896692276
